"","inputstate","votereg","age","party_ID","askvote","vote_method"
"810",39,1,56,1,5,2
"811",39,1,62,1,5,3
"812",39,1,60,3,5,2
"813",39,1,63,2,5,1
"814",39,1,76,3,5,1
"815",39,1,48,1,5,1
"816",39,1,60,1,5,3
"817",39,1,66,3,5,2
"818",39,1,29,1,5,3
"819",39,1,71,1,5,1
"820",39,1,68,1,1,NA
"821",39,1,67,2,5,1
"822",39,1,49,1,5,1
"823",39,1,53,1,5,2
"824",39,1,59,3,5,3
"825",39,1,49,3,5,3
"826",39,1,35,1,5,1
"827",39,1,62,1,5,1
"828",39,1,64,3,5,1
"829",39,1,61,2,5,1
"830",39,1,43,NA,NA,NA
"831",39,1,53,1,5,3
"832",39,1,57,1,5,1
"833",39,1,52,3,4,4
"834",39,1,33,NA,NA,NA
"835",39,1,56,4,5,3
"836",39,1,53,1,2,NA
"837",39,1,70,1,5,1
"838",39,2,36,3,NA,NA
"839",39,1,60,1,5,1
"840",39,1,60,3,5,3
"841",39,1,80,1,5,2
"842",39,1,44,2,5,1
"843",39,1,60,2,5,3
"844",39,1,57,1,5,3
"845",39,1,59,2,5,1
"846",39,1,60,3,5,1
"847",39,1,63,2,5,1
"848",39,1,38,2,5,2
"849",39,1,56,1,5,1
"850",39,1,28,3,5,1
"851",39,1,45,1,5,1
"852",39,1,34,3,5,2
"853",39,1,74,1,5,3
"854",39,1,34,3,5,1
"855",39,1,70,2,5,3
"856",39,1,52,3,5,1
"857",39,1,23,2,5,3
"858",39,1,65,2,5,2
"859",39,1,54,3,5,2
"860",39,1,59,1,5,2
"861",39,1,34,3,5,1
"862",39,1,46,1,5,1
"863",39,1,70,2,5,2
"864",39,1,63,4,5,2
"865",39,1,39,NA,NA,NA
"866",39,1,62,3,5,1
"867",39,1,48,NA,NA,NA
"868",39,1,89,1,5,3
"869",39,1,66,2,5,2
"870",39,1,54,3,5,1
"871",39,1,71,3,5,1
"872",39,2,73,1,NA,NA
"873",39,1,56,2,5,1
"874",39,2,46,4,NA,NA
"875",39,1,57,2,5,3
"876",39,1,35,1,1,NA
"877",39,1,56,1,5,1
"878",39,1,33,2,5,1
"879",39,1,43,1,5,3
"880",39,1,54,1,5,3
"881",39,1,71,4,5,3
"882",39,1,40,2,5,1
"883",39,1,34,1,5,3
"884",39,1,62,2,5,1
"885",39,1,60,2,5,1
"886",39,1,64,2,5,1
"887",39,1,56,1,5,3
"888",39,1,38,1,5,3
"889",39,1,45,2,4,4
"890",39,1,69,1,5,1
"891",39,1,64,1,5,1
"892",39,1,53,2,1,NA
"893",39,1,56,1,5,3
"894",39,1,26,3,5,2
"895",39,1,52,1,NA,NA
"896",39,1,23,1,5,3
"897",39,1,58,1,5,2
"898",39,1,43,2,5,3
"899",39,1,42,NA,NA,NA
"900",39,1,43,NA,NA,NA
"901",39,1,61,2,5,1
"902",39,1,42,4,5,2
"903",39,1,36,1,4,4
"904",39,1,35,1,2,NA
"905",39,1,63,1,5,1
"906",39,1,60,3,5,1
